taxonID	type	description	language	source
0399D61F575EFFF6FE26FF2EFC13573B.taxon	type_taxon	Type species: Euderus columbianus Ashmead (subsequent monotypy by Ashmead, 1900: 561). Placed on Official Index of Rejected and Invalid Generic Names in Zoology (ICZN, 1985).	en	Hansson, Christer, Hanson, Paul E. (2023): EULOPHIDAE OF COSTA RICA (HYMENOPTERA: CHALCIDOIDEA), 5: The genus Galeopsomyia Girault. Taxonomic Monographs on Neotropical Hymenoptera (Oxford, England) 3 (1): 1-743, ISBN: 978-1-7397467-2-8, DOI: 10.5281/zenodo.8372024, URL: http://dx.doi.org/10.5281/zenodo.8372023
0399D61F575EFFF6FE26FF2EFC13573B.taxon	diagnosis	Diagnosis. Body strongly sclerotized, gaster not collapsing in dried specimens, all gastral tergites at least partly reticulate, usually strongly so. Head with a subocular fovea that is usually reticulate at the bottom (Figs 15 – 17). Propodeum (Fig. 22) with a strong median carina and with strong paraspiracular carinae, also with 1 – 2 transverse carinae on either side of median carina, one close to posterior margin (always present) and one in the middle (Fig. 22) (not present in all species). Female gaster short ovate to very elongate, 1.1 – 4.6 × as long as wide in dorsal view. All species included here have a unique set of features on the face below the toruli and eye (Figs 29 – 34). These features include three white areas (1 – 3) on dried specimens, and a swelling below the eye (4). The white areas are possibly membranes. When the head is treated with 10 % KOH, to remove soft parts, these white areas appear as holes in the cuticle (Fig. 33). The swelling below the eye is possibly connected to the white areas, together forming a system with an unknown function. None of these features are present in any other group of the Eulophidae.	en	Hansson, Christer, Hanson, Paul E. (2023): EULOPHIDAE OF COSTA RICA (HYMENOPTERA: CHALCIDOIDEA), 5: The genus Galeopsomyia Girault. Taxonomic Monographs on Neotropical Hymenoptera (Oxford, England) 3 (1): 1-743, ISBN: 978-1-7397467-2-8, DOI: 10.5281/zenodo.8372024, URL: http://dx.doi.org/10.5281/zenodo.8372023
0399D61F575EFFF6FE26FF2EFC13573B.taxon	description	Description. Antennae in both sexes attached in lower half of frons; scape not reaching to upper level of vertex, flagellum with two short anelli; females with three funiculars and three clavomeres with variation in the delimitation between C 1 and C 2, and rarely also between C 2 and C 3, from no constriction (solid clava) (Fig. 37) to having a strong constriction between clavomeres (Fig. 38); regardless, the flagellum is here regarded as always having three clavomeres, C 3 with a ± distinct apical spicule; males either with a dorso-basal whorl of long setae on F 1 – F 4 and on C 1 – C 2, sometimes with a ventro-basal whorl of long setae on C 1 & C 2, and sometimes with a dorso-basal whorl of long setae present only on F 1 & F 2, these setae usually much longer than the flagellomere to which they are attached (Fig. 953), or with scattered short setae on all flagellomeres (Fig. 975); males with a dorso-basal whorl of long setae on the flagellomeres have four funiculars and three clavomeres, with clava usually very long and narrow (Fig. 953), males with scattered setae on the flagellomeres have only six flagellomeres (clava undifferentiated) (Fig. 975); male scape with a sensory plaque on ventral margin, usually situated in apical half of scape (Fig. 971), or extending along ± entire length of scape (Fig. 965). Head with malar sulcus complete and straight; with a subocular fovea (a. k. a. malar pit / malar fovea) that is reticulate at the bottom; with or without genal carina (Figs 15 – 17), if present then varying in length from very short and situated close to mouth opening (Fig. 16), to extending from mouth opening up to above level of lower margin of eye (Fig. 17); clypeal margin bidentate (Fig. 30). Head below level of toruli with weak to strong reticulation but with clypeal area smooth or with very weak reticulation, frons with strong reticulation to rugose between eyes and antennal scrobes, scrobes usually with small-meshed weak (usually) to strong (rarely) reticulation; with scattered setae, except scrobes which are always bare; face with pale areas and swelling as described above under diagnosis. Vertex usually with strong reticulation outside ocellar triangle, inside ocellar triangle with wrinkled sculpture or reticulation, usually with a carina between lateral ocelli in posterior part, and with a strong sulcus from eye margin to lateral ocelli and continuing from there to median ocellus (Figs 933 – 950). Occipital margin usually rounded, but in some species with a carina or sharp edge. Pronotum with strong reticulation, meshes isodiametric, with posterior margin smooth, always without a transverse carina on collar. Mesoscutum with an incomplete (present in posterior part) to complete median groove, or median groove absent; midlobe with a varying number of setae close to notauli (adnotaular setae), some species with setae in a single (Fig. 152) or scattered row close to inner margin of notauli (Fig. 250), and a few species with setae scattered all over midlobe (Fig. 636); many species with part of midlobe close to notauli papillate, i. e. with attachment points of setae as small nobs (Fig. 620), or rugose. Axillae with strong reticulation and advanced ⅓ – ½ their length in front of transscutal articulation. Mesoscutellum transverse to elongate, usually convex but in a few species ± flat; submedian grooves usually present and separating a median part from lateral parts; with a ± wide groove along posterior margin that is usually subdivided by longitudinal short carinae (costulae) (Fig. 911). The submedian grooves of the mesoscutellum can be distinct with both inner and outer margins distinct and complete (Fig. 926), with inner margin distinct but outer margin indistinct or missing (Figs 917, 920), or with both inner and outer margins indistinct (Fig. 908); straight or curved, parallel, diverging towards posterior part, or diverging towards both anterior and posterior parts, with (Fig. 916) or without (Fig. 915) transverse costulae. Setation on the mesoscutellum is usually confined to the lateral parts and there may be several setae scattered over entire lateral part, or with two pairs of setae – one pair always attached close to posterior margin (these setae are always the longest) and one pair either attached in median or in anterior part of mesoscutellum; a few aberrant species have setae over the entire surface of the mesoscutellum (Fig. 932). Dorsellum varying from shiny with weak sculpture to strongly reticulate or with other strong sculpture, with (Fig. 22) or without a complete median carina. Propodeum with a complete and strong narrow to wide median carina, usually expanding both in posterior and anterior parts, also with a strong and curved paraspiracular carina on either side, and a transverse carina close to posterior margin, and many species also have a median transverse carina reaching from paraspiracular carina towards median carina; part between median carina and paraspiracular carina either with strong reticulation (Fig. 144), or a combination of strong reticulation and strong irregular carinae (Fig. 146); spiracles covered by a small flap on the outer side of spiracle; callus with 2 – 11 setae. Coxae with very weak to very strong reticulation, mid coxa usually with weakest reticulation; some species with a sharp edge along posterior margin of fore coxa and / or a carina along posterior margin of hind coxa (Figs 18, 19); hind coxa with (Fig. 21) or without (Fig. 20) a carina along posterior margin. Wings usually completely hyaline, but in a few species with infuscate parts, veins yellowish-brown to yellowish-white; fore wing with 2 – 13, but usually 4 – 5, setae on dorsal surface of submarginal vein, sometimes with different number of setae on left and right wing on same specimen (given as x & x); costal cell with a row of setae on ventral surface (here referred to as costal setal row), row either unbroken (Fig. 35) or with setae absent in median part (Fig. 36) and then referred to as broken; postmarginal vein absent or very short, always distinctly shorter than stigmal vein; costal cell 10 – 27 × as long as wide; speculum closed, or open below and / or towards base of wing. Petiole varying from very short, just a narrow band, to about 0.5 × as long as wide with dorsal part with or without strong irregular sculpture or a few longitudinal carinae. Female gaster 1.1 – 4.6 × as long as wide, strongly sclerotized and not collapsing after death, with strong or weak reticulation; medio-basal Gt 1 with an incision that can be either ± semicircular (Fig. 23, 42) or ± rectangular (Fig. 43), in the latter case there are usually flat areas on either side of the incision (Fig. 43), with (Figs 24, 41, 42) or without (Figs 23, 43) a transverse carina or edge above attachment point of petiole, this part sometimes with short longitudinal carinae (Figs 27, 28); with longest cercal seta usually at least twice as long as next longest, and curved or sinuate but never kinked. Female hypopygium reaching about half the length of gaster. Many important distinguishing characters for the species are found in the female only, in the antennae and the gaster, i. e. sexually dimorphic characters. As males do not have these features it is difficult to link female and male of the same species based on morphological characters. Unless males can be linked to conspecific females by way of non-sex related morphological characters or through the biology (specimens reared from the same host and collecting event) only females are described and included here. As most males are unknown it seems pointless to include them in an identification key. However, all known males are included in the descriptions.	en	Hansson, Christer, Hanson, Paul E. (2023): EULOPHIDAE OF COSTA RICA (HYMENOPTERA: CHALCIDOIDEA), 5: The genus Galeopsomyia Girault. Taxonomic Monographs on Neotropical Hymenoptera (Oxford, England) 3 (1): 1-743, ISBN: 978-1-7397467-2-8, DOI: 10.5281/zenodo.8372024, URL: http://dx.doi.org/10.5281/zenodo.8372023
0399D61F575EFFF6FE26FF2EFC13573B.taxon	distribution	Distribution. The New World, being most abundant and diverse in the subtropical and tropical parts. Very few species are recorded from temperate parts of North America and none thus far from temperate parts of South America.	en	Hansson, Christer, Hanson, Paul E. (2023): EULOPHIDAE OF COSTA RICA (HYMENOPTERA: CHALCIDOIDEA), 5: The genus Galeopsomyia Girault. Taxonomic Monographs on Neotropical Hymenoptera (Oxford, England) 3 (1): 1-743, ISBN: 978-1-7397467-2-8, DOI: 10.5281/zenodo.8372024, URL: http://dx.doi.org/10.5281/zenodo.8372023
0399D61F575EFFF6FE26FF2EFC13573B.taxon	biology_ecology	Biology. Associated with galls and seeds, either as inquilines (Hawkins & Goeden 1984) or as parasitoids (Table 1). The species G. fausta is an exception as it targets leafmining Lepidoptera (Cobo Nuñez 1996, LaSalle & Peña, 1997). See above under “ Biology ”.	en	Hansson, Christer, Hanson, Paul E. (2023): EULOPHIDAE OF COSTA RICA (HYMENOPTERA: CHALCIDOIDEA), 5: The genus Galeopsomyia Girault. Taxonomic Monographs on Neotropical Hymenoptera (Oxford, England) 3 (1): 1-743, ISBN: 978-1-7397467-2-8, DOI: 10.5281/zenodo.8372024, URL: http://dx.doi.org/10.5281/zenodo.8372023
0399D61F5764FFC1FE25FB8EFDAA56DF.taxon	description	(Figs 652, 653)	en	Hansson, Christer, Hanson, Paul E. (2023): EULOPHIDAE OF COSTA RICA (HYMENOPTERA: CHALCIDOIDEA), 5: The genus Galeopsomyia Girault. Taxonomic Monographs on Neotropical Hymenoptera (Oxford, England) 3 (1): 1-743, ISBN: 978-1-7397467-2-8, DOI: 10.5281/zenodo.8372024, URL: http://dx.doi.org/10.5281/zenodo.8372023
0399D61F5764FFC1FE25FB8EFDAA56DF.taxon	diagnosis	Diagnosis (female). Antenna with a solid clava (Fig. 653); genal carina short, present close to mouth opening; mesoscutellum with submedian grooves indistinct and diverging towards posterior part (Fig. 652); dorsellum without median carina (Fig. 652); hind coxa without carina along posterior margin; propodeum with strong reticulation, callus with two setae; gaster 2.6 × as long as wide, medio-basal Gt 1 with upper margin rounded, without transverse edge / carina or incision, tergites with strong reticulation (Fig. 652).	en	Hansson, Christer, Hanson, Paul E. (2023): EULOPHIDAE OF COSTA RICA (HYMENOPTERA: CHALCIDOIDEA), 5: The genus Galeopsomyia Girault. Taxonomic Monographs on Neotropical Hymenoptera (Oxford, England) 3 (1): 1-743, ISBN: 978-1-7397467-2-8, DOI: 10.5281/zenodo.8372024, URL: http://dx.doi.org/10.5281/zenodo.8372023
0399D61F5764FFC1FE25FB8EFDAA56DF.taxon	description	Redescription (female lectotype). Length of body 1.9 mm. Scape and pedicel yellowish-brown, flagellum brown. Head with frons golden-green, clypeal area dark brown, antennal scrobes black. Thoracic dorsum golden-green. Legs with fore and mid coxae dark brown, hind coxa black with metallic tinges; trochanters yellowish-brown; femora dark brown with apex yellowish-brown; tibiae yellowish-brown; T 1 – 3 yellowish-brown, T 4 dark brown. Petiole not visible on type. Gaster black with metallic tinges; gonoplac black. Antenna with solid clava. Face below level of toruli with weak reticulation, frons with strong reticulation, clypeal area smooth, antennal scrobes with weak reticulation; genal carina short, present close to mouth opening. Vertex with strong reticulation. Mesoscutum with strong reticulation, meshes isodiametric, elongate in posterior half of midlobe; midlobe without a median groove, with about six adnotaular setae. Mesoscutellum with strong reticulation, meshes elongate; submedian grooves indistinct, diverging towards posterior part. Dorsellum with strong reticulation, without median carina. Propodeum with a strong median carina, with strong reticulation; callus with two setae. Fore and mid coxae with weak reticulation, hind coxa with strong reticulation; hind coxa without carina along posterior margin. Fore wing with four setae on dorsal surface of submarginal vein; speculum open; costal setal row unbroken. Petiole not visible on type. Gaster elongate; medio-basal Gt 1 with upper part rounded; tergites with strong reticulation. Relative measurements: head length, dorsal view 26; head length, frontal view 42; POL 13; OOL 5; lateral ocellus diameter 5.5; head width 55; mouth width nm; malar space 16; eye length 24; scape length 18; scape width 4.5; pedicel + flagellum length 44; pedicel length 7.5; pedicel width, dorsal view 4.5; F 1 length 6; F 1 width 5; F 2 length 5.5; F 2 width 5; F 3 length 5.5; F 3 width 5.5; clava length 13; clava width 7; C 3 length 5; spicule length 1; mesosoma length 71; mesosoma width 51; midlobe of mesoscutum length 28; mesoscutellum length 27.5; mesoscutellum width 27; median part of mesoscutellum width (measured medially) 15.5; median part of mesoscutellum, width in anterior part 13.5; median part of mesoscutellum, width in posterior part 18.5; lateral part of mesoscutellum (measured medially) 4; dorsellum length 5.5; propodeum length 10; costal cell length 35; costal cell width (measured at widest part) 3; marginal vein length 33; stigmal vein length 10; gaster length 104; gaster width 40; Gt 2 length (measured medially) 8; Gt 4 length (measured medially) 26; Gt 7 length (measured medially) 14; Gt 7 width (measured at base) 16; longest cercal seta length nm; shortest cercal seta length nm. Male. Unknown.	en	Hansson, Christer, Hanson, Paul E. (2023): EULOPHIDAE OF COSTA RICA (HYMENOPTERA: CHALCIDOIDEA), 5: The genus Galeopsomyia Girault. Taxonomic Monographs on Neotropical Hymenoptera (Oxford, England) 3 (1): 1-743, ISBN: 978-1-7397467-2-8, DOI: 10.5281/zenodo.8372024, URL: http://dx.doi.org/10.5281/zenodo.8372023
0399D61F5764FFC1FE25FB8EFDAA56DF.taxon	biology_ecology	Hosts. Unknown.	en	Hansson, Christer, Hanson, Paul E. (2023): EULOPHIDAE OF COSTA RICA (HYMENOPTERA: CHALCIDOIDEA), 5: The genus Galeopsomyia Girault. Taxonomic Monographs on Neotropical Hymenoptera (Oxford, England) 3 (1): 1-743, ISBN: 978-1-7397467-2-8, DOI: 10.5281/zenodo.8372024, URL: http://dx.doi.org/10.5281/zenodo.8372023
0399D61F5764FFC1FE25FB8EFDAA56DF.taxon	distribution	Distribution. The West Indies (Grenada) (Howard 1897).	en	Hansson, Christer, Hanson, Paul E. (2023): EULOPHIDAE OF COSTA RICA (HYMENOPTERA: CHALCIDOIDEA), 5: The genus Galeopsomyia Girault. Taxonomic Monographs on Neotropical Hymenoptera (Oxford, England) 3 (1): 1-743, ISBN: 978-1-7397467-2-8, DOI: 10.5281/zenodo.8372024, URL: http://dx.doi.org/10.5281/zenodo.8372023
