identifier	taxonID	publicationType	full_reference	primaryTitle	title	pages	pageStart	pageEnd	journal	volume	publisher	authorList	editorList	created	language	uri	doi
0399D61F575EFFF6FE26FF2EFC13573B.ref	0399D61F575EFFF6FE26FF2EFC13573B.taxon	journal article	Hansson, Christer, Hanson, Paul E. (2023): EULOPHIDAE OF COSTA RICA (HYMENOPTERA: CHALCIDOIDEA), 5: The genus Galeopsomyia Girault. Taxonomic Monographs on Neotropical Hymenoptera (Oxford, England) 3 (1), 1-743: 12-14, ISBN:978-1-7397467-2-8, DOI:10.5281/zenodo.8372024, URL:http://dx.doi.org/10.5281/zenodo.8372023	EULOPHIDAE OF COSTA RICA (HYMENOPTERA: CHALCIDOIDEA), 5: The genus Galeopsomyia Girault			12	14	Taxonomic Monographs on Neotropical Hymenoptera (Oxford, England)	3		Hansson, Christer;Hanson, Paul E.		2023	en		
0399D61F5742FFCEFE6CFE4EFBDF50BB.ref	0399D61F5742FFCEFE6CFE4EFBDF50BB.taxon	journal article	Hansson, Christer, Hanson, Paul E. (2023): EULOPHIDAE OF COSTA RICA (HYMENOPTERA: CHALCIDOIDEA), 5: The genus Galeopsomyia Girault. Taxonomic Monographs on Neotropical Hymenoptera (Oxford, England) 3 (1), 1-743: 16-54, ISBN:978-1-7397467-2-8, DOI:10.5281/zenodo.8372024, URL:http://dx.doi.org/10.5281/zenodo.8372023	EULOPHIDAE OF COSTA RICA (HYMENOPTERA: CHALCIDOIDEA), 5: The genus Galeopsomyia Girault			16	54	Taxonomic Monographs on Neotropical Hymenoptera (Oxford, England)	3		Hansson, Christer;Hanson, Paul E.		2023	en		
0399D61F5764FFC1FE25FB8EFDAA56DF.ref	0399D61F5764FFC1FE25FB8EFDAA56DF.taxon	journal article	Hansson, Christer, Hanson, Paul E. (2023): EULOPHIDAE OF COSTA RICA (HYMENOPTERA: CHALCIDOIDEA), 5: The genus Galeopsomyia Girault. Taxonomic Monographs on Neotropical Hymenoptera (Oxford, England) 3 (1), 1-743: 54-55, ISBN:978-1-7397467-2-8, DOI:10.5281/zenodo.8372024, URL:http://dx.doi.org/10.5281/zenodo.8372023	EULOPHIDAE OF COSTA RICA (HYMENOPTERA: CHALCIDOIDEA), 5: The genus Galeopsomyia Girault			54	55	Taxonomic Monographs on Neotropical Hymenoptera (Oxford, England)	3		Hansson, Christer;Hanson, Paul E.		2023	en		
0399D61F576BFFC3FE37FA0DFC7B5060.ref	0399D61F576BFFC3FE37FA0DFC7B5060.taxon	journal article	Hansson, Christer, Hanson, Paul E. (2023): EULOPHIDAE OF COSTA RICA (HYMENOPTERA: CHALCIDOIDEA), 5: The genus Galeopsomyia Girault. Taxonomic Monographs on Neotropical Hymenoptera (Oxford, England) 3 (1), 1-743: 55-57, ISBN:978-1-7397467-2-8, DOI:10.5281/zenodo.8372024, URL:http://dx.doi.org/10.5281/zenodo.8372023	EULOPHIDAE OF COSTA RICA (HYMENOPTERA: CHALCIDOIDEA), 5: The genus Galeopsomyia Girault			55	57	Taxonomic Monographs on Neotropical Hymenoptera (Oxford, England)	3		Hansson, Christer;Hanson, Paul E.		2023	en		
0399D61F5769FFC2FE28FC65FD2E567F.ref	0399D61F5769FFC2FE28FC65FD2E567F.taxon	journal article	Hansson, Christer, Hanson, Paul E. (2023): EULOPHIDAE OF COSTA RICA (HYMENOPTERA: CHALCIDOIDEA), 5: The genus Galeopsomyia Girault. Taxonomic Monographs on Neotropical Hymenoptera (Oxford, England) 3 (1), 1-743: 57-58, ISBN:978-1-7397467-2-8, DOI:10.5281/zenodo.8372024, URL:http://dx.doi.org/10.5281/zenodo.8372023	EULOPHIDAE OF COSTA RICA (HYMENOPTERA: CHALCIDOIDEA), 5: The genus Galeopsomyia Girault			57	58	Taxonomic Monographs on Neotropical Hymenoptera (Oxford, England)	3		Hansson, Christer;Hanson, Paul E.		2023	en		
0399D61F5768FFC5FE0FFA6DFED55058.ref	0399D61F5768FFC5FE0FFA6DFED55058.taxon	journal article	Hansson, Christer, Hanson, Paul E. (2023): EULOPHIDAE OF COSTA RICA (HYMENOPTERA: CHALCIDOIDEA), 5: The genus Galeopsomyia Girault. Taxonomic Monographs on Neotropical Hymenoptera (Oxford, England) 3 (1), 1-743: 58-59, ISBN:978-1-7397467-2-8, DOI:10.5281/zenodo.8372024, URL:http://dx.doi.org/10.5281/zenodo.8372023	EULOPHIDAE OF COSTA RICA (HYMENOPTERA: CHALCIDOIDEA), 5: The genus Galeopsomyia Girault			58	59	Taxonomic Monographs on Neotropical Hymenoptera (Oxford, England)	3		Hansson, Christer;Hanson, Paul E.		2023	en		
0399D61F576FFFC4FE34FC8DFDAA57BF.ref	0399D61F576FFFC4FE34FC8DFDAA57BF.taxon	journal article	Hansson, Christer, Hanson, Paul E. (2023): EULOPHIDAE OF COSTA RICA (HYMENOPTERA: CHALCIDOIDEA), 5: The genus Galeopsomyia Girault. Taxonomic Monographs on Neotropical Hymenoptera (Oxford, England) 3 (1), 1-743: 59-60, ISBN:978-1-7397467-2-8, DOI:10.5281/zenodo.8372024, URL:http://dx.doi.org/10.5281/zenodo.8372023	EULOPHIDAE OF COSTA RICA (HYMENOPTERA: CHALCIDOIDEA), 5: The genus Galeopsomyia Girault			59	60	Taxonomic Monographs on Neotropical Hymenoptera (Oxford, England)	3		Hansson, Christer;Hanson, Paul E.		2023	en		
0399D61F576EFFC7FE0EFB2DFCF6557E.ref	0399D61F576EFFC7FE0EFB2DFCF6557E.taxon	journal article	Hansson, Christer, Hanson, Paul E. (2023): EULOPHIDAE OF COSTA RICA (HYMENOPTERA: CHALCIDOIDEA), 5: The genus Galeopsomyia Girault. Taxonomic Monographs on Neotropical Hymenoptera (Oxford, England) 3 (1), 1-743: 60-61, ISBN:978-1-7397467-2-8, DOI:10.5281/zenodo.8372024, URL:http://dx.doi.org/10.5281/zenodo.8372023	EULOPHIDAE OF COSTA RICA (HYMENOPTERA: CHALCIDOIDEA), 5: The genus Galeopsomyia Girault			60	61	Taxonomic Monographs on Neotropical Hymenoptera (Oxford, England)	3		Hansson, Christer;Hanson, Paul E.		2023	en		
0399D61F576CFFB9FE15FEEFFD73515C.ref	0399D61F576CFFB9FE15FEEFFD73515C.taxon	journal article	Hansson, Christer, Hanson, Paul E. (2023): EULOPHIDAE OF COSTA RICA (HYMENOPTERA: CHALCIDOIDEA), 5: The genus Galeopsomyia Girault. Taxonomic Monographs on Neotropical Hymenoptera (Oxford, England) 3 (1), 1-743: 62-63, ISBN:978-1-7397467-2-8, DOI:10.5281/zenodo.8372024, URL:http://dx.doi.org/10.5281/zenodo.8372023	EULOPHIDAE OF COSTA RICA (HYMENOPTERA: CHALCIDOIDEA), 5: The genus Galeopsomyia Girault			62	63	Taxonomic Monographs on Neotropical Hymenoptera (Oxford, England)	3		Hansson, Christer;Hanson, Paul E.		2023	en		
0399D61F5713FFB8FE09FD89FBE9505B.ref	0399D61F5713FFB8FE09FD89FBE9505B.taxon	journal article	Hansson, Christer, Hanson, Paul E. (2023): EULOPHIDAE OF COSTA RICA (HYMENOPTERA: CHALCIDOIDEA), 5: The genus Galeopsomyia Girault. Taxonomic Monographs on Neotropical Hymenoptera (Oxford, England) 3 (1), 1-743: 63-64, ISBN:978-1-7397467-2-8, DOI:10.5281/zenodo.8372024, URL:http://dx.doi.org/10.5281/zenodo.8372023	EULOPHIDAE OF COSTA RICA (HYMENOPTERA: CHALCIDOIDEA), 5: The genus Galeopsomyia Girault			63	64	Taxonomic Monographs on Neotropical Hymenoptera (Oxford, England)	3		Hansson, Christer;Hanson, Paul E.		2023	en		
