occurrenceID	taxonID	catalogNumber	collectionCode	institutionCode	typeStatus	verbatimLabel	sex	individualCount	eventDate	recordedBy	recordNumber	decimalLatitude	decimalLongitude	minimumElevationInMeters	maximumElevationInMeters	minimumDepthInMeters	maximumDepthInMeters	country	stateProvince	municipality	locality	references	associatedOccurrences	associatedReferences	associatedSequences	basisOfRecord
0399D61F5769FFC2FE28FC65FD2E567F.mc.3B586D545768FFC2FF1EFAAFFD2A567F	0399D61F5769FFC2FE28FC65FD2E567F.taxon			NHMUK	lectotype	Lectotype female of T. haemon in NHMUK	female	1														https://treatment.plazi.org/id/0399D61F5769FFC2FE28FC65FD2E567F#3B586D545768FFC2FF1EFAAFFD2A567F				MaterialCitation
0399D61F5768FFC5FE0FFA6DFED55058.mc.3B586D54576FFFC5FF1EFD2FFD2751F8	0399D61F5768FFC5FE0FFA6DFED55058.taxon			USNM	lectotype	Lectotype female in USNM, through images.	female	1														https://treatment.plazi.org/id/0399D61F5768FFC5FE0FFA6DFED55058#3B586D54576FFFC5FF1EFD2FFD2751F8				MaterialCitation
0399D61F576FFFC4FE34FC8DFDAA57BF.mc.3B586D54576EFFC4FF1EFB6FFE5657BF	0399D61F576FFFC4FE34FC8DFDAA57BF.taxon			NHMUK	lectotype	Lectotype female in NHMUK	female	1														https://treatment.plazi.org/id/0399D61F576FFFC4FE34FC8DFDAA57BF#3B586D54576EFFC4FF1EFB6FFE5657BF				MaterialCitation
0399D61F576EFFC7FE0EFB2DFCF6557E.mc.3B586D54576DFFC7FF1EF9B1FD88555A	0399D61F576EFFC7FE0EFB2DFCF6557E.taxon			NHMUK	lectotype	Lectotype female through images;	female	2	2011-04	H. H. Smith Coll											Chapada	https://treatment.plazi.org/id/0399D61F576EFFC7FE0EFB2DFCF6557E#3B586D54576DFFC7FF1EF9B1FD88555A				MaterialCitation
0399D61F576EFFC7FE0EFB2DFCF6557E.mc.3B586D54576DFFC7FDE0F9B1FEC3557E	0399D61F576EFFC7FE0EFB2DFCF6557E.taxon			NHMUK	lectotype	paralectotype female in NHMUK labelled: “ Apr 11 ”, “ Chapada ”, “ H. H. Smith Coll ”	female	2	2011-04	H. H. Smith Coll											Chapada	https://treatment.plazi.org/id/0399D61F576EFFC7FE0EFB2DFCF6557E#3B586D54576DFFC7FDE0F9B1FEC3557E				MaterialCitation
0399D61F576EFFC7FE0EFB2DFCF6557E.mc.3B586D54576DFFC7FEB1F9ACFCF6557E	0399D61F576EFFC7FE0EFB2DFCF6557E.taxon				paratype	“ Paratype No. 8099 U. S. N. M. ”, “ viridicyaneus A ”.		1														https://treatment.plazi.org/id/0399D61F576EFFC7FE0EFB2DFCF6557E#3B586D54576DFFC7FEB1F9ACFCF6557E				MaterialCitation
0399D61F576CFFB9FE15FEEFFD73515C.mc.3B586D545713FFB9FF1EFDEFFB8A5138	0399D61F576CFFB9FE15FEEFFD73515C.taxon			NHMUK	holotype	Holotype ♀ BRAZIL, Santa Catarina, Nova Teutonia, xi. 1949, F. Plaumann (NHMUK)	female	1	1949-11	F. Plaumann								Brazil	Santa Catarina		Nova Teutonia	https://treatment.plazi.org/id/0399D61F576CFFB9FE15FEEFFD73515C#3B586D545713FFB9FF1EFDEFFB8A5138				MaterialCitation
0399D61F576CFFB9FE15FEEFFD73515C.mc.3B586D545713FFB9FBECFDEFFD7F515C	0399D61F576CFFB9FE15FEEFFD73515C.taxon			MZLU, NHMUK	paratype	Paratypes: 3 ♀ with same label data as holotype (MZLU, NHMUK)	female	3	1949-11	F. Plaumann								Brazil	Santa Catarina		Nova Teutonia	https://treatment.plazi.org/id/0399D61F576CFFB9FE15FEEFFD73515C#3B586D545713FFB9FBECFDEFFD7F515C				MaterialCitation
0399D61F5713FFB8FE09FD89FBE9505B.mc.3B586D545712FFB8FF1EFCB0FBE9505B	0399D61F5713FFB8FE09FD89FBE9505B.taxon			NHMUK	holotype	Holotype ♀ BRAZIL, Santa Catarina, Nova Teutonia, xi. 1949, F. Plaumann (NHMUK).	female	1	1949-11	F. Plaumann								Brazil	Santa Catarina		Nova Teutonia	https://treatment.plazi.org/id/0399D61F5713FFB8FE09FD89FBE9505B#3B586D545712FFB8FF1EFCB0FBE9505B				MaterialCitation
0399D61F5712FFBBFE1EFC8EFC6656CB.mc.3B586D545711FFBBFF1EFB0FFD96563D	0399D61F5712FFBBFE1EFC8EFC6656CB.taxon			NHMUK	holotype	Holotype ♀ COSTA RICA, Heredia, 11 km SE La Virgen, 10 ° 20 ’ N, 84 ° 04 ’ W, 450 - 550 m, 23. ii- 20. iv. 2003, INBio, OET, ALAS (NHMUK)	female	1	2003-02-23			10.333333	-84.066666	500				Costa Rica	Heredia		11 km SE La Virgen	https://treatment.plazi.org/id/0399D61F5712FFBBFE1EFC8EFC6656CB#3B586D545711FFBBFF1EFB0FFD96563D				MaterialCitation
0399D61F5712FFBBFE1EFC8EFC6656CB.mc.3B586D545711FFBBFD8CFAEAFC53563C	0399D61F5712FFBBFE1EFC8EFC6656CB.taxon			MZLU, MZUCR, NHMUK	paratype	Paratypes (5 ♀, MZLU, MZUCR, NHMUK)	female	5										Costa Rica	Heredia			https://treatment.plazi.org/id/0399D61F5712FFBBFE1EFC8EFC6656CB#3B586D545711FFBBFD8CFAEAFC53563C				MaterialCitation
0399D61F5712FFBBFE1EFC8EFC6656CB.mc.3B586D545711FFBBFBC1FAEAFE2E5642	0399D61F5712FFBBFE1EFC8EFC6656CB.taxon			NHMUK	paratype	1 ♀ with same label data as holotype	female	1	2003-02-23			10.333333	-84.066666	500				Costa Rica	Heredia		11 km SE La Virgen	https://treatment.plazi.org/id/0399D61F5712FFBBFE1EFC8EFC6656CB#3B586D545711FFBBFBC1FAEAFE2E5642				MaterialCitation
0399D61F5712FFBBFE1EFC8EFC6656CB.mc.3B586D545711FFBBFE54FAC9FE695665	0399D61F5712FFBBFE1EFC8EFC6656CB.taxon			INBio	paratype	1 ♀ COSTA RICA, Heredia, 6 km ENE Vara Blanca, 10 ° 11 ’ N, 84 ° 07 ’ W, 2000 m, iii. 2002, INBio, OET, ALAS	female	1	2002-03			10.183333	-84.11667	2000				Costa Rica	Heredia		Heredia	https://treatment.plazi.org/id/0399D61F5712FFBBFE1EFC8EFC6656CB#3B586D545711FFBBFE54FAC9FE695665				MaterialCitation
0399D61F5712FFBBFE1EFC8EFC6656CB.mc.3B586D545711FFBBFE0DFAA5FE1A568B	0399D61F5712FFBBFE1EFC8EFC6656CB.taxon				paratype	1 ♀ COSTA RICA, San José, Zurqui de Moravia, 10 º 03 ’ 03 ’’ N, 84 º 00 ’ 22 ’’ W, 1600 m, v. 1991, P. Hanson	female	1	1991-05	P. Hanson		10.050834	-84.00611	1600				Costa Rica	San Jose		Zurqui de Moravia	https://treatment.plazi.org/id/0399D61F5712FFBBFE1EFC8EFC6656CB#3B586D545711FFBBFE0DFAA5FE1A568B				MaterialCitation
0399D61F5712FFBBFE1EFC8EFC6656CB.mc.3B586D545711FFBBFE78FA80FC70568B	0399D61F5712FFBBFE1EFC8EFC6656CB.taxon				paratype	2 ♀ from same locality as previous but collected iv. 1992	female	2	1992-04	P. Hanson		10.050834	-84.00611	1600				Costa Rica	San Jose		Zurqui de Moravia	https://treatment.plazi.org/id/0399D61F5712FFBBFE1EFC8EFC6656CB#3B586D545711FFBBFE78FA80FC70568B				MaterialCitation
0399D61F5711FFBDFE15FA1EFC6D528B.mc.3B586D545717FFBDFF1EFF0FFE8D523D	0399D61F5711FFBDFE15FA1EFC6D528B.taxon			NHMUK	holotype	Holotype ♀ COSTA RICA, Heredia, Santo Domingo, INBio-Parque, 16. ii. 2013, J. S. Noyes (NHMUK)	female	1	2013-02-16	J. S. Noyes								Costa Rica	Heredia		Santo Domingo	https://treatment.plazi.org/id/0399D61F5711FFBDFE15FA1EFC6D528B#3B586D545717FFBDFF1EFF0FFE8D523D				MaterialCitation
0399D61F5711FFBDFE15FA1EFC6D528B.mc.3B586D545717FFBDFEEBFEEAFD4B523C	0399D61F5711FFBDFE15FA1EFC6D528B.taxon			MZLU, MZUCR, NHMUK	paratype	Paratypes (5 ♀, MZLU, MZUCR, NHMUK)	female	5										Costa Rica	Heredia			https://treatment.plazi.org/id/0399D61F5711FFBDFE15FA1EFC6D528B#3B586D545717FFBDFEEBFEEAFD4B523C				MaterialCitation
