taxonID	namePublishedIn	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	kingdom	phylum	class	order	family	genus	taxonRank	scientificName	scientificNameAuthorship	canonicalName	verbatimScientificName	basionymAuthors	basionymYear	combinationAuthors	combinationYear	taxonomicStatus	nomenclaturalStatus	references
0399D61F575EFFF6FE26FF2EFC13573B.taxon					Animalia	Arthropoda	Insecta	Hymenoptera	Eulophidae	Galeopsomyia	genus	Galeopsomyia Girault 1916	Girault 1916	Galeopsomyia	GALEOPSOMYIA Girault			Girault	1916			https://treatment.plazi.org/id/0399D61F575EFFF6FE26FF2EFC13573B
0399D61F575EFFF6FE26FF2EFC13573B.taxon.syn1	Forster, A. 1856. Hymenopterologische Studien. 2. Chalcidiae und Proctotrupii, 152 pp, Aachen.	0399D61F575EFFF6FE26FF2EFC13573B.taxon			Animalia	Arthropoda	Insecta	Hymenoptera	Eulophidae	Trichaporus	genus	Trichaporus Forster. Placed 1856	Forster. Placed 1856	Trichaporus	Trichaporus Förster, 1856: 84			Forster. Placed	1856	synonym		https://treatment.plazi.org/id/0399D61F575EFFF6FE26FF2EFC13573B
0399D61F575EFFF6FE26FF2EFC13573B.taxon.syn2	Ashmead, W. H. 1900. Order Hymenoptera. (In Smith: Catalogue of Insects of New Jersey), Annual Report of the New Jersey State Board of Agriculture, 27 (Supplement): 510 - 613. State Board of Agriculture, New Jersey.	0399D61F575EFFF6FE26FF2EFC13573B.taxon			Animalia	Arthropoda	Insecta	Hymenoptera	Eulophidae	Trichoporus	genus	Trichoporus Ashmead 1900	Ashmead 1900	Trichoporus	Trichoporus Ashmead, 1900: 561			Ashmead	1900	synonym		https://treatment.plazi.org/id/0399D61F575EFFF6FE26FF2EFC13573B
0399D61F575EFFF6FE26FF2EFC13573B.taxon.syn3	Girault, A. A. 1917 a. Speciosissima genera nova eulophidorum, 4 pp, Private publication, Washington.	0399D61F575EFFF6FE26FF2EFC13573B.taxon			Animalia	Arthropoda	Insecta	Hymenoptera	Eulophidae	Galeopsomopsis	genus	Galeopsomopsis Girault 1917	Girault 1917	Galeopsomopsis	Galeopsomopsis Girault, 1917 a: 1			Girault	1917	synonym		https://treatment.plazi.org/id/0399D61F575EFFF6FE26FF2EFC13573B
0399D61F5742FFCEFE6CFE4EFBDF50BB.taxon					Animalia	Arthropoda	Insecta	Hymenoptera	Eulophidae	Galeopsomyia	genus	Galeopsomyia Girault 1916	Girault 1916	Galeopsomyia	GALEOPSOMYIA			Girault	1916			https://treatment.plazi.org/id/0399D61F5742FFCEFE6CFE4EFBDF50BB
0399D61F5764FFC1FE25FB8EFDAA56DF.taxon					Animalia	Arthropoda	Insecta	Hymenoptera	Eulophidae	Galeopsomyia	species	Galeopsomyia compacta (Howard 1897)	(Howard 1897)	Galeopsomyia compacta	Galeopsomyia compacta (Howard)	Howard	1897					https://treatment.plazi.org/id/0399D61F5764FFC1FE25FB8EFDAA56DF
0399D61F5764FFC1FE25FB8EFDAA56DF.taxon.syn1	Howard, L. O. 1897. On the Chalcididae of the Island of Grenada. Journal of the Linnean Society (Zoology), 26: 129 - 178.	0399D61F5764FFC1FE25FB8EFDAA56DF.taxon			Animalia	Arthropoda	Insecta	Hymenoptera	Eulophidae	Tetrastichodes	species	Tetrastichodes compactus Howard 1897	Howard 1897	Tetrastichodes compactus	Tetrastichodes compactus Howard 1897: 175			Howard	1897	synonym		https://treatment.plazi.org/id/0399D61F5764FFC1FE25FB8EFDAA56DF
0399D61F5764FFC1FE25FB8EFDAA56DF.taxon.syn2		0399D61F5764FFC1FE25FB8EFDAA56DF.taxon			Animalia	Arthropoda	Insecta	Hymenoptera	Eulophidae	Tetrastichus	species	Tetrastichus compactus (Howard 1897)	(Howard 1897)	Tetrastichus compactus	Tetrastichus compactus (Howard)	Howard	1897			synonym		https://treatment.plazi.org/id/0399D61F5764FFC1FE25FB8EFDAA56DF
0399D61F576BFFC3FE37FA0DFC7B5060.taxon					Animalia	Arthropoda	Insecta	Hymenoptera	Eulophidae	Galeopsomyia	species	Galeopsomyia epidius (Walker 1847)	(Walker 1847)	Galeopsomyia epidius	Galeopsomyia epidius (Walker)	Walker	1847					https://treatment.plazi.org/id/0399D61F576BFFC3FE37FA0DFC7B5060
0399D61F576BFFC3FE37FA0DFC7B5060.taxon.syn1	Walker, F. 1847. Characters of undescribed Chalcidites collected in North America by E. Doubleday Esq., and now in the British Museum. Annals and Magazine of Natural History, 20: 19 - 29.	0399D61F576BFFC3FE37FA0DFC7B5060.taxon			Animalia	Arthropoda	Insecta	Hymenoptera	Eulophidae	Tetrastichus	species	Tetrastichus epidius Walker 1847	Walker 1847	Tetrastichus epidius	Tetrastichus epidius Walker 1847: 28			Walker	1847	synonym		https://treatment.plazi.org/id/0399D61F576BFFC3FE37FA0DFC7B5060
